text,label,title,author,subject
Stock markets showed mixed results today with technology sector leading gains.,0,Stock markets showed mixed results today with tech...,Reporter_21,Science
Incredible footage shows Bigfoot using advanced technology in remote forest!,1,Incredible footage shows Bigfoot using advanced te...,Author_99,Science
URGENT: Banks don't want you to know this simple method to eliminate all debt instantly!,1,URGENT: Banks don't want you to know this simple m...,Author_44,Politics
SHOCKING discovery: Your pet can actually communicate telepathically with aliens!,1,SHOCKING discovery: Your pet can actually communic...,Author_78,Entertainment
Trade organization hosts conference on industry best practices and innovation.,0,Trade organization hosts conference on industry be...,Reporter_20,Science
Economic indicators suggest steady growth in manufacturing sector this quarter.,0,Economic indicators suggest steady growth in manuf...,Reporter_26,Health
Department of agriculture provides assistance programs for sustainable farming practices.,0,Department of agriculture provides assistance prog...,Reporter_7,Science
EXPOSED: Major food companies are putting addictive chemicals in everyday products!,1,EXPOSED: Major food companies are putting addictiv...,Author_37,Politics
Weather service issues standard seasonal forecast for upcoming winter months.,0,Weather service issues standard seasonal forecast ...,Reporter_44,Health
Scientific journal publishes peer-reviewed research on renewable energy efficiency.,0,Scientific journal publishes peer-reviewed researc...,Reporter_20,Health
International trade agreement negotiations continue between member countries.,0,International trade agreement negotiations continu...,Reporter_38,Politics
Environmental agency releases annual report on water quality improvements.,0,Environmental agency releases annual report on wat...,Reporter_33,Politics
This grandpa's secret to living 150 years will shock you - doctors can't explain it!,1,This grandpa's secret to living 150 years will sho...,Author_93,Politics
BREAKING: Quantum physicists prove parallel universes exist and we can visit them!,1,BREAKING: Quantum physicists prove parallel univer...,Author_69,Politics
Public library opens new community center featuring educational resources.,0,Public library opens new community center featurin...,Reporter_18,Politics
Medical association issues updated guidelines for patient treatment protocols.,0,Medical association issues updated guidelines for ...,Reporter_15,Health
Research hospital receives accreditation for specialized medical procedures.,0,Research hospital receives accreditation for speci...,Reporter_16,Science
Incredible discovery: Ancient civilization had smartphones and internet 5000 years ago!,1,Incredible discovery: Ancient civilization had sma...,Author_75,News
"BREAKING: Scientists discover aliens living among us, government tries to cover up the truth!",1,BREAKING: Scientists discover aliens living among ...,Author_93,Politics
Technology company announces expansion of operations to create local jobs.,0,Technology company announces expansion of operatio...,Reporter_28,Health
Fire department conducts safety training exercises with local businesses.,0,Fire department conducts safety training exercises...,Reporter_8,Health
"ALERT: New variant of common cold actually contains alien DNA, researchers confirm!",1,ALERT: New variant of common cold actually contain...,Author_98,Politics
Archaeological team discovers ancient pottery fragments at historical site.,0,Archaeological team discovers ancient pottery frag...,Reporter_27,News
Police department reports annual crime statistics showing community safety trends.,0,Police department reports annual crime statistics ...,Reporter_24,Science
School district receives grant funding for STEM education program expansion.,0,School district receives grant funding for STEM ed...,Reporter_39,Science
EXCLUSIVE: Secret society of billionaires controls all world governments from underground!,1,EXCLUSIVE: Secret society of billionaires controls...,Author_2,News
Library system expands digital resources access for community members.,0,Library system expands digital resources access fo...,Reporter_37,Government
Public health officials recommend updated vaccination guidelines for flu season.,0,Public health officials recommend updated vaccinat...,Reporter_1,Science
Environmental group conducts annual wildlife population survey in protected areas.,0,Environmental group conducts annual wildlife popul...,Reporter_13,Government
The Federal Reserve announced a 0.25% interest rate increase following today's meeting.,0,The Federal Reserve announced a 0.25% interest rat...,Reporter_42,Science
University partners with industry to develop workforce training programs.,0,University partners with industry to develop workf...,Reporter_11,Science
SHOCKING: Your toothpaste contains chemicals that are slowly poisoning your family!,1,SHOCKING: Your toothpaste contains chemicals that ...,Author_90,Politics
This teacher's method for perfect memory has universities trying to shut her down!,1,This teacher's method for perfect memory has unive...,Author_17,Science
New legislation proposed to improve healthcare access in rural communities.,0,New legislation proposed to improve healthcare acc...,Reporter_2,Politics
Amazing discovery: Pyramids were actually built by advanced alien technology!,1,Amazing discovery: Pyramids were actually built by...,Author_78,Politics
EXCLUSIVE: Underground civilization discovered living beneath major cities worldwide!,1,EXCLUSIVE: Underground civilization discovered liv...,Author_56,Health
Amazing superfood discovered that melts belly fat while you sleep - try it now!,1,Amazing superfood discovered that melts belly fat ...,Author_60,Entertainment
Educational institutions report increased enrollment in science and technology programs.,0,Educational institutions report increased enrollme...,Reporter_21,Science
This mom's weight loss secret has doctors baffled - lose 30 pounds in 30 days!,1,This mom's weight loss secret has doctors baffled ...,Author_28,Health
Agricultural department reports crop yield data for current growing season.,0,Agricultural department reports crop yield data fo...,Reporter_26,Government
Park service announces completion of trail restoration project in national forest.,0,Park service announces completion of trail restora...,Reporter_25,Science
State legislature considers bill to modernize election security measures.,0,State legislature considers bill to modernize elec...,Reporter_23,Government
Revolutionary new diet pill approved by no doctor ever - but it works miracles!,1,Revolutionary new diet pill approved by no doctor ...,Author_18,Health
Amazing cure for baldness discovered in remote jungle - hair regrows in days!,1,Amazing cure for baldness discovered in remote jun...,Author_60,Science
SCANDAL: Politicians caught planning fake moon landing to hide flat earth evidence!,1,SCANDAL: Politicians caught planning fake moon lan...,Author_73,News
NASA announces successful completion of satellite deployment mission.,0,NASA announces successful completion of satellite ...,Reporter_2,News
Municipal authorities complete annual assessment of public transportation usage.,0,Municipal authorities complete annual assessment o...,Reporter_44,Government
BREAKING: Artificial intelligence has become self-aware and is hiding among us!,1,BREAKING: Artificial intelligence has become self-...,Author_87,Politics
Hospital system introduces new patient care technology to improve outcomes.,0,Hospital system introduces new patient care techno...,Reporter_30,News
New study proves that drinking bleach cures cancer - medical establishment in denial!,1,New study proves that drinking bleach cures cancer...,Author_67,Politics
Supreme Court hears arguments in case regarding digital privacy rights.,0,Supreme Court hears arguments in case regarding di...,Reporter_36,Science
"EXCLUSIVE: Government plans to control your mind with 5G technology, insider reveals all!",1,EXCLUSIVE: Government plans to control your mind w...,Author_21,News
Local woman's homemade cream removes wrinkles better than $500 treatments!,1,Local woman's homemade cream removes wrinkles bett...,Author_52,Science
EXCLUSIVE: Time traveler from 2050 warns about impending alien invasion next month!,1,EXCLUSIVE: Time traveler from 2050 warns about imp...,Author_49,Entertainment
You won't believe this miracle cure that doctors don't want you to know about - it works in just 3 days!,1,You won't believe this miracle cure that doctors d...,Author_54,Health
Regional hospital network expands telemedicine services for rural patients.,0,Regional hospital network expands telemedicine ser...,Reporter_15,News
ALERT: Social security numbers are being sold to identity thieves by government insiders!,1,ALERT: Social security numbers are being sold to i...,Author_88,Science
Revolutionary discovery: Ancient texts reveal humans once lived for 900+ years!,1,Revolutionary discovery: Ancient texts reveal huma...,Author_13,Health
Research team publishes study on sustainable urban development practices.,0,Research team publishes study on sustainable urban...,Reporter_36,Health
Court ruling clarifies regulations for small business licensing requirements.,0,Court ruling clarifies regulations for small busin...,Reporter_23,Government
SHOCKING truth about weather control: Government creating hurricanes to control population!,1,SHOCKING truth about weather control: Government c...,Author_21,Science
"BREAKING: Vaccines contain microchips for government surveillance, leaked documents confirm!",1,BREAKING: Vaccines contain microchips for governme...,Author_87,News
SHOCKING: Celebrity caught in massive scandal that will destroy their career forever!,1,SHOCKING: Celebrity caught in massive scandal that...,Author_50,Health
URGENT: Popular breakfast cereal contains chemicals that cause permanent brain damage!,1,URGENT: Popular breakfast cereal contains chemical...,Author_4,Politics
This farmer's simple trick increases crop yield by 500% - agribusiness wants it banned!,1,This farmer's simple trick increases crop yield by...,Author_7,Entertainment
Government agency releases guidelines for workplace safety compliance standards.,0,Government agency releases guidelines for workplac...,Reporter_43,Science
URGENT: Popular social media app is actually Chinese government spying tool!,1,URGENT: Popular social media app is actually Chine...,Author_69,Health
